filename,symbol,morse,wpm,snr_db
A_00_wpm15_snr15.wav,A,.-,15,15
A_01_wpm12_snr10.wav,A,.-,12,10
B_00_wpm24_snr0.wav,B,-...,24,0
B_01_wpm12_snr5.wav,B,-...,12,5
C_00_wpm18_snr10.wav,C,-.-.,18,10
C_01_wpm24_snr0.wav,C,-.-.,24,0
D_00_wpm14_snr15.wav,D,-..,14,15
D_01_wpm14_snr15.wav,D,-..,14,15
E_00_wpm19_snr10.wav,E,.,19,10
E_01_wpm17_snr0.wav,E,.,17,0
F_00_wpm23_snr10.wav,F,..-.,23,10
F_01_wpm19_snr15.wav,F,..-.,19,15
G_00_wpm22_snr10.wav,G,--.,22,10
G_01_wpm18_snr5.wav,G,--.,18,5
H_00_wpm22_snr0.wav,H,....,22,0
H_01_wpm17_snr10.wav,H,....,17,10
I_00_wpm25_snr0.wav,I,..,25,0
I_01_wpm22_snr5.wav,I,..,22,5
J_00_wpm24_snr5.wav,J,.---,24,5
J_01_wpm15_snr10.wav,J,.---,15,10
K_00_wpm18_snr15.wav,K,-.-,18,15
K_01_wpm17_snr10.wav,K,-.-,17,10
L_00_wpm19_snr10.wav,L,.-..,19,10
L_01_wpm22_snr15.wav,L,.-..,22,15
M_00_wpm25_snr15.wav,M,--,25,15
M_01_wpm16_snr5.wav,M,--,16,5
N_00_wpm23_snr0.wav,N,-.,23,0
N_01_wpm15_snr10.wav,N,-.,15,10
O_00_wpm15_snr5.wav,O,---,15,5
O_01_wpm15_snr15.wav,O,---,15,15
P_00_wpm13_snr0.wav,P,.--.,13,0
P_01_wpm22_snr10.wav,P,.--.,22,10
Q_00_wpm18_snr15.wav,Q,--.-,18,15
Q_01_wpm21_snr5.wav,Q,--.-,21,5
R_00_wpm20_snr0.wav,R,.-.,20,0
R_01_wpm17_snr5.wav,R,.-.,17,5
S_00_wpm17_snr10.wav,S,...,17,10
S_01_wpm24_snr15.wav,S,...,24,15
T_00_wpm16_snr10.wav,T,-,16,10
T_01_wpm14_snr10.wav,T,-,14,10
U_00_wpm20_snr10.wav,U,..-,20,10
U_01_wpm18_snr0.wav,U,..-,18,0
V_00_wpm21_snr0.wav,V,...-,21,0
V_01_wpm15_snr10.wav,V,...-,15,10
W_00_wpm14_snr15.wav,W,.--,14,15
W_01_wpm20_snr5.wav,W,.--,20,5
X_00_wpm14_snr10.wav,X,-..-,14,10
X_01_wpm16_snr15.wav,X,-..-,16,15
Y_00_wpm24_snr5.wav,Y,-.--,24,5
Y_01_wpm19_snr5.wav,Y,-.--,19,5
Z_00_wpm21_snr15.wav,Z,--..,21,15
Z_01_wpm17_snr0.wav,Z,--..,17,0
0_00_wpm21_snr10.wav,0,-----,21,10
0_01_wpm20_snr15.wav,0,-----,20,15
1_00_wpm18_snr0.wav,1,.----,18,0
1_01_wpm18_snr0.wav,1,.----,18,0
2_00_wpm25_snr15.wav,2,..---,25,15
2_01_wpm20_snr0.wav,2,..---,20,0
3_00_wpm20_snr5.wav,3,...--,20,5
3_01_wpm15_snr5.wav,3,...--,15,5
4_00_wpm14_snr15.wav,4,....-,14,15
4_01_wpm13_snr15.wav,4,....-,13,15
5_00_wpm18_snr15.wav,5,.....,18,15
5_01_wpm25_snr15.wav,5,.....,25,15
6_00_wpm21_snr15.wav,6,-....,21,15
6_01_wpm22_snr10.wav,6,-....,22,10
7_00_wpm18_snr0.wav,7,--...,18,0
7_01_wpm15_snr15.wav,7,--...,15,15
8_00_wpm17_snr0.wav,8,---..,17,0
8_01_wpm12_snr5.wav,8,---..,12,5
9_00_wpm21_snr10.wav,9,----.,21,10
9_01_wpm21_snr15.wav,9,----.,21,15
